review_status,recommended_status,overall_score,expertise_fit,tool_fit,domain_fit,growth_fit,interest_fit,practical_fit,risk_score,job_id,input_file,title,normalized_title,company,city,work_mode,source_url,matched_terms,suggested_role_groups,hard_blockers,soft_risks,reason
new,keep,83,100,100,100,72,60,95,0,job_11e532b1a2,job_11e532b1a2.txt,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79244,"DevOps, automotive","VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024",,,"Score 83: matched explicit job terms (DevOps, automotive) against evidence in VOLVO_2024_2026, GE_2005_2020, ERICSSON_2021_2024."
new,keep,83,100,100,100,72,60,95,0,job_137554f75f,job_137554f75f.txt,Uppdragsannonser,Software Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests/79226,"Jira, CI/CD, SAFe, verification, autonomous, automation","VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020",,,"Score 83: matched explicit job terms (CI/CD, Jira, SAFe, automation, autonomous, verification) against evidence in VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020."
new,keep,83,100,100,100,72,60,95,0,job_34210777d4,job_34210777d4.txt,Uppdragsannonser,Embedded Software Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests/79212,"Simulink, verification, testing, embedded","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,,"Score 83: matched explicit job terms (Simulink, embedded, testing, verification) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024."
new,keep,83,100,100,100,72,60,95,0,job_71df1b2ac6,job_71df1b2ac6.txt,Uppdragsannonser,Embedded Software Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests/79388,"C++, C, Git, AUTOSAR, Agile, Scrum, DevOps, testing, embedded, industrial","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,,"Score 83: matched explicit job terms (AUTOSAR, Agile, C, C++, DevOps, Git, Scrum, embedded, industrial, testing) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024."
new,keep,83,100,100,100,72,60,95,0,job_8c8d199ed3,job_8c8d199ed3.txt,Uppdragsannonser,Systems Engineer,,Gothenburg,hybrid,https://app.verama.com/app/job-requests/79322,"automotive, industrial","GE_2005_2020, VOLVO_2024_2026, EQUINOX_2009",,,"Score 83: matched explicit job terms (automotive, industrial) against evidence in GE_2005_2020, VOLVO_2024_2026, EQUINOX_2009."
new,keep,83,100,100,100,72,60,95,0,job_9242c3f7be,job_9242c3f7be.txt,Uppdragsannonser,Systems Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79242,automotive,VOLVO_2024_2026,,,Score 83: matched explicit job terms (automotive) against evidence in VOLVO_2024_2026.
new,keep,83,100,100,100,72,60,95,0,job_f40f1b983b,job_f40f1b983b.txt,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79348,"verification, automotive, industrial","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,,"Score 83: matched explicit job terms (automotive, industrial, verification) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024."
new,keep,83,100,100,100,72,60,95,0,job_f7ae35e272,job_f7ae35e272.txt,Uppdragsannonser,Software Engineer,,Gothenburg,remote,https://app.verama.com/app/job-requests/79245,"DevOps, automotive, industrial","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,,"Score 83: matched explicit job terms (DevOps, automotive, industrial) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024."
new,keep,81,95,92,100,72,60,95,0,job_abd4eef4ed,job_abd4eef4ed.txt,Test Developer for Automotive Software,Embedded Software Engineer,,Gothenburg,unspecified,https://careers.egra.com/jobs/5713854-test-developer-for-automotive-software,"C++, C, Git, Gerrit, Jenkins, CI/CD, testing, embedded, embedded systems, automotive, telecom, automation","VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020",,,"Score 81: matched explicit job terms (C, C++, CI/CD, Gerrit, Git, Jenkins, automation, automotive, embedded, embedded systems, telecom, testing) against evidence in VOLVO_2024_2026, ERICSSON_2021_2024, GE_2005_2020."
new,keep,81,94,90,100,72,60,95,0,job_b333d2d00b,job_b333d2d00b.txt,System Verification Engineer,Embedded Software Engineer,,Gothenburg,unspecified,https://careers.egra.com/jobs/4474683-system-verification-engineer,"C, MATLAB, unit testing, SIL, HIL, verification, testing, embedded, automotive","GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024",,,"Score 81: matched explicit job terms (C, HIL, MATLAB, SIL, automotive, embedded, testing, unit testing, verification) against evidence in GE_2005_2020, VOLVO_2024_2026, ERICSSON_2021_2024."
